5 Ways, -629, -369, 33
Pier enterance, -1456.449, -772.9354, 23.17758
Top of backslash, -1744.908, -557.6848, 37.44308
Middle of backslash, -1905.04, -454.3938, 22.03168
Bottom of backslash, -2010.58, -387.5992, 10.80423
Xero gasstation, -2111.746, -320.6764, 12.69385
Curvy road, -2038.459, -176.0632, 25.96786
Jetty, -1936.177, -330.9111, 45.99904
Curvy at graveyard, -1803.014, -316.4394, 43.06359
Graveyard, -1650.325, -241.7027, 54.55624
Mighty bush alleyway, -1561.502, -255.4389, 47.93999
Rons Vespucci, -1443.686, -283.9986, 45.73196
Ammunation Vespucci, -1327.8, -386.7443, 36.27899
Maze Bank Office, -1376.676, -502.4027, 32.81857
Movie studio, -1128.808, -518.6096, 33.43983
Richards majestic, -924.1899, -354.1303, 38.62968
Life Invader, -1065.292, -240.9474, 39.73314
Low carparks, -932.1575, -166.9659, 41.87978
Rockford church, -767.0086, -23.18074, 41.08138
Rockford sign, -852.8739, -62.28775, 37.55703
mainPD, -557.7357, -148.5691, 37.62638
LS customs Rockford, -360.3566, -123.0564, 38.2217
Rockford plaza, -188.5361, -189.777, 43.40707
Red carpark, -330.457, -760.9752, 33.53185
Main banner hotel, -287.5471, -1089.143, 23.53601
Mors mutulals, -190.7982, -1179.807, 22.6422
Mile high construction, -139.5661, -1000.832, 26.83933
Overpass, 30.60654, -768.8931, 43.80021
Maze bank, -79.37727, -836.9302, 40.55812
FIB office, 118.7249, -750.3245, 45.75161
Square of squares, 198.6176, -924.3083, 30.25593
Mirror park railyard, 515.5547, -600.192, 24.48646
Dashhound bus depot, 416.7971, -633.8034, 28.06391
Pillbox hill hospital, 299.0893, -585.0489, 43.26086
Town hall, 236.9798, -412.7879, 48.11194
V-hotel, -1319.842, -1031.485, 7.68584
Hairdresser Vespucci , -1282.359, -1131.056, 6.793107
Container carpark, -1230.348, -1417.834, 3.67306
Floyd's house, -1151.394, -1527.568, 3.606839
Fish restaurant, -1050.224, -1388.699, 5.558093
Canals South-West pedestrian bridge, -1094.643, -1170.35, 2.834405
Canals monument exit, -914.8668, -1067.418, 3.029327
Canals Dead mans alley, -978.5504, -980.2361, 1.569863
Canals North-West  pedestrian bridge, -1149.793, -1081.266, 2.770371
V-hotel bridge, -1222.564, -983.6544, 4.817577
North bumpy roads, -1116.187, -936.9754, 1.984292
Middle bumpy roads, -1033.169, -1073.235, 3.396679
South bumpy roads, -966.4299, -1189.609, 3.556327
Binco Vespucci, -811.6337, -1096.52, 10.09275
Noodles, -639.5592, -1232.113, 10.8317
Marina carpark, -800.0236, -1307.056, 4.350928
pegasus helicopter spawn, -722.1886, -1440.774, 4.351003
Rogers salvage yard, -625.3577, -1639.57, 25.17614
LSIA Los santos customs, -1144.318, -1991.855, 13.16293
LSIA crastenburg hotel, -865.1851, -2139.597, 8.280535
LSIA Bilgeco shipping, -1016.468, -2191.283, 8.330681
LSIA Spaghetti junction, -585.6416, -1995.97, 9.540169
LSIA Sightseeing bar, -915.7426, -2526.408, 23.32149
LSIA Multistory carparks, -984.1516, -2640.834, 13.32785
LSIA Main terminal, -1038.29, -2736.051, 13.10775
LSIA flight school enterance, -1147.662, -2723.813, 13.30117
LSIA Devin weston hangar, -949.8621, -3003.583, 13.29184
LSIA Southeast Runway, -983.2768, -3249.436, 13.29143
LSIA Main Runway, -1268.101, -3082.517, 13.292
LSIA Main Runway North-West, -1557.872, -2916.69, 13.2999
LSIA Side Runway South-West, -1537.586, -2634.296, 13.29183
LSIA Side Runway Middle, -1431.002, -2440.596, 14.14518
LSIA Side Runway North-East, -1322.539, -2259.906, 14.1313
LSIA Rescue practice plane, -1154.599, -2327.164, 13.32854
LSIA Fire department enterance, -1014.021, -2411.647, 13.94454
LSIA Passenger gate, -1220.822, -2569.425, 13.2921
LSIA Cargo plane gate, -1280.763, -2761.828, 13.29165
LSIA Main enterance, -982.1938, -2832.026, 13.31245
LSIA Pegasus hangar, -1662.496, -3163.132, 13.99219
LSIA Dinesoar warehouse, -1345.731, -3323.363, 13.94016
LSIA South terminal, -1569.152, -3221.1, 13.29544
LSIA closed pegasus hangar, -1395.448, -3268.787, 13.29514
LSIA Unnamed hangar, -1279.189, -3383.732, 13.29147
LSIA Hangar No1, -1153.024, -3412.096, 13.29625
LSIA behind main enterance hangars, -766.5626, -2839.535, 13.29627
LSIA groundfloor parking, -788.3724, -2389.368, 13.91728
LSIA subway parking, -911.1109, -2308.832, 6.058584
LSIA autoparts, -423.0512, -2167.99, 11.33856
